"Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","sig"
"ENSG00000021826.17",12388.0196182134,-6.60683895172446,0.414252949304689,-15.9488036544189,2.90406844347487e-57,1.12680759675268e-52,"CPS1","Down"
"ENSG00000151632.17",17520.5001159808,-5.27614534165752,0.385618057049578,-13.6823088162056,1.29514079774446e-42,2.51263790466415e-38,"AKR1C2","Down"
"ENSG00000120211.4",227.46663114634,-8.66758862142659,0.63656167046758,-13.6162590736258,3.20572915254716e-42,4.14618322826608e-38,"INSL4","Down"
"ENSG00000132874.15",374.625520109137,-5.51415041518596,0.413645497605674,-13.3306187232879,1.53618305888573e-40,1.49013597169563e-36,"SLC14A2","Down"
"ENSG00000266968.2",367.37958912544,-6.31698232878443,0.482508458273516,-13.0919618515859,3.66029846462457e-39,2.84046481451796e-35,"AC023421.1","Down"
"ENSG00000186529.16",580.335054743514,-4.72828246345385,0.362402004949088,-13.0470648585902,6.60431152451451e-39,4.27089819104479e-35,"CYP4F3","Down"
"ENSG00000145920.15",516.065027771789,-6.25592263027992,0.501325710896965,-12.4787588074964,9.74945681119274e-36,5.40412391044413e-32,"CPLX2","Down"
"ENSG00000023839.12",1108.1545174897,-4.3055053837747,0.351990787349374,-12.2318695219179,2.10047920017474e-34,1.01875866807475e-30,"ABCC2","Down"
"ENSG00000187134.14",15233.8734251901,-4.27942366682876,0.35220336158435,-12.1504339072126,5.70619458433053e-34,2.46006728962899e-30,"AKR1C1","Down"
"ENSG00000110680.13",9633.55071547206,-6.41567197463811,0.544006800022248,-11.7933672416884,4.22311855451208e-32,1.63861223033623e-28,"CALCA","Down"
"ENSG00000249628.3",546.168798809008,-4.15320996781056,0.35663414106601,-11.645575926624,2.41683416983681e-31,8.52505296580345e-28,"LINC00942","Down"
"ENSG00000188517.16",556.780342147243,-4.39461952531299,0.379220705982025,-11.5885537260755,4.71018601002288e-31,1.52299939479081e-27,"COL25A1","Down"
"ENSG00000125851.10",1134.9422907245,-5.1154217063002,0.447115675904837,-11.4409357174696,2.61054653412823e-30,7.79167815928534e-27,"PCSK2","Down"
"ENSG00000104327.7",83.2734929626401,-3.94266656816933,0.347258633022802,-11.3536891332243,7.10982521562695e-30,1.83912218794361e-26,"CALB1","Down"
"ENSG00000133742.14",10.9893966692922,2.9955617594206,0.263798274760183,11.3555017072945,6.96389794609956e-30,1.83912218794361e-26,"CA1","Up"
"ENSG00000134193.15",274.17352686279,-5.80498822036339,0.515142927343599,-11.2686943996253,1.87326973923502e-29,4.54279619700362e-26,"REG4","Down"
"ENSG00000235123.5",663.149162951544,-7.73991020924117,0.695731681107629,-11.1248494490275,9.49660599546413e-29,2.16751652488238e-25,"DSCAM-AS1","Down"
"ENSG00000133636.11",550.966577940855,-4.96046749040299,0.45201039055498,-10.9742333230714,5.08352547414696e-28,1.03813616801251e-24,"NTS","Down"
"ENSG00000184956.16",1066.76784483631,-4.63142618037153,0.421982030220099,-10.9754109149052,5.01771957970785e-28,1.03813616801251e-24,"MUC6","Down"
"ENSG00000198074.10",3869.69210327944,-4.67804521656801,0.438313406038757,-10.6728317047058,1.36404868237243e-26,2.64632264623664e-23,"AKR1B10","Down"
"ENSG00000171560.16",16224.3799139443,-4.41042248157588,0.414178401090797,-10.6486056973527,1.76996189657221e-26,3.27029959756658e-23,"FGA","Down"
"ENSG00000123999.5",629.180444639469,-3.98148739165707,0.376429034924543,-10.5769933301111,3.80988365153698e-26,6.71942252560392e-23,"INHA","Down"
"ENSG00000234854.1",235.93769765069,-9.58697710351722,0.908726259130608,-10.5499065391697,5.08476485721857e-26,8.57799831412773e-23,"LINC00676","Down"
"ENSG00000120875.9",5445.74580486057,-2.1712438562499,0.207114639013994,-10.4832949838142,1.03088237388061e-25,1.66663612453922e-22,"DUSP4","Down"
"ENSG00000276122.1",38.6238217240475,-8.24294559333412,0.787613876836586,-10.4657190988578,1.24130410888802e-25,1.92655362915856e-22,"AC026336.3","Down"
"ENSG00000198758.11",319.943637922388,-5.02529522088659,0.485095255895659,-10.3593988187085,3.79338725056154e-25,5.66104687342456e-22,"EPS8L3","Down"
"ENSG00000287627.1",124.565381545104,-5.77107572781246,0.561629210925847,-10.2755975215371,9.0780143288965e-25,1.30457790361301e-21,"AL359704.2","Down"
"ENSG00000139352.4",1768.26114835898,-5.16639841798337,0.50516681856368,-10.2271135556226,1.4992129709491e-24,2.07753437449272e-21,"ASCL1","Down"
"ENSG00000164089.9",67.7239909333463,-5.68682790931625,0.561228936047155,-10.1328130893779,3.95115625241634e-24,5.28651081896573e-21,"ETNPPL","Down"
"ENSG00000266401.2",15.3671762843091,-4.0079105200366,0.39592669266774,-10.1228601007713,4.3744244070545e-24,5.65773471393738e-21,"AP002478.1","Down"
"ENSG00000111432.4",375.40660625481,-3.33788353216735,0.331419708113213,-10.0714696514883,7.38659681828057e-24,9.24539816600337e-21,"FZD10","Down"
"ENSG00000109511.12",157.734799922871,-4.06584642599505,0.408058793372217,-9.9638740594087,2.19345060145936e-23,2.65962739960077e-20,"ANXA10","Down"
"ENSG00000129988.6",95.7175878219987,-3.82510562224984,0.385300915357569,-9.92757989868787,3.15827707995264e-23,3.71346390846189e-20,"LBP","Down"
"ENSG00000171658.8",290.210022203553,-3.10996430985813,0.314442119073033,-9.89041900311008,4.58106452220229e-23,5.22793778017562e-20,"NMRAL2P","Down"
"ENSG00000102010.15",56.4215705976168,1.83603909547914,0.185946150764755,9.87403658493559,5.39488682934348e-23,5.98077153901018e-20,"BMX","Up"
"ENSG00000135346.9",135.395350234835,-5.66904728908558,0.575448783629636,-9.85152362878959,6.75126496492581e-23,7.27655088622462e-20,"CGA","Down"
"ENSG00000169297.8",261.686974210262,-6.27988836650444,0.63948255460297,-9.82026534000351,9.21008025298064e-23,9.65838713232167e-20,"NR0B1","Down"
"ENSG00000150201.15",125.644256501115,-3.53657620127739,0.36274656498885,-9.7494409116902,1.85486967643309e-22,1.89396837671791e-19,"FXYD4","Down"
"ENSG00000186474.15",943.062195920022,-4.7666387394886,0.49208472946996,-9.6866219454176,3.43708988311257e-22,3.41955191165771e-19,"KLK12","Down"
"ENSG00000224251.6",45.8253573992088,-3.4516355741141,0.359122422272416,-9.61130622887096,7.1634383443274e-22,6.94871427995619e-19,"AL391427.1","Down"
"ENSG00000198431.16",20470.6498667902,-1.88411952663469,0.196303704555977,-9.59798252863547,8.15244705642062e-22,7.71519751795552e-19,"TXNRD1","Down"
"ENSG00000168955.4",24.1412872284787,-4.70010071903765,0.49242367954495,-9.54483083222363,1.36329918073027e-21,1.25946122646465e-18,"TM4SF20","Down"
"ENSG00000124564.17",6.51158331229738,2.87994232498729,0.303012995964767,9.50435249754818,2.01296389163009e-21,1.81639562695673e-18,"SLC17A3","Up"
"ENSG00000069482.7",125.21408264277,-3.10649594957048,0.330648776112399,-9.39515332884361,5.71345457486043e-21,5.03835797634454e-18,"GAL","Down"
"ENSG00000254275.6",19.0419613299222,-3.91224481877357,0.418028698871523,-9.35879481321441,8.06513597072891e-21,6.95411868445005e-18,"LINC00824","Down"
"ENSG00000100604.13",73.0035605586473,-3.68064570468199,0.393858824469515,-9.34508883897526,9.1812363565657e-21,7.74437286676317e-18,"CHGA","Down"
"ENSG00000107954.10",169.858058704563,-2.60095802132371,0.278638297730949,-9.33453169397111,1.01438681579917e-20,8.37430273187736e-18,"NEURL1","Down"
"ENSG00000163993.7",12417.5887308824,-2.92771797441238,0.315386356530166,-9.28295696308079,1.64839105971572e-20,1.33248378141728e-17,"S100P","Down"
"ENSG00000263639.7",2389.90577366198,-3.70243005514225,0.402341677007963,-9.20220366598753,3.50682881208219e-20,2.77690744362451e-17,"MSMB","Down"
"ENSG00000285601.1",57.7742361940794,-2.96091782531424,0.324442272517173,-9.12617767821088,7.09604861555411e-20,5.5066756466423e-17,"AC084262.2","Down"
"ENSG00000134548.11",90.5810529951855,-2.95563731559557,0.325876072141026,-9.06981999683763,1.19213795401622e-19,9.06983230466342e-17,"SPX","Down"
"ENSG00000198610.11",35.0873954176212,-3.6700580701145,0.409110370581485,-8.97082629535424,2.9429825928843e-19,2.19597437666353e-16,"AKR1C4","Down"
"ENSG00000249199.2",69.7288321790455,-4.51141843005164,0.509217063422752,-8.85951935649544,8.0360153203857e-19,5.8831213291752e-16,"AC026785.3","Down"
"ENSG00000245870.4",12.4962172736619,-4.63556131817413,0.526937540997009,-8.79717415730766,1.40304472798849e-18,1.00813960167929e-15,"LINC00682","Down"
"ENSG00000171564.12",10215.0354063787,-4.45691096445921,0.509343489286813,-8.75030516380962,2.12776568074474e-18,1.5010806577923e-15,"FGB","Down"
"ENSG00000169347.17",68.8793129590402,-5.01037900814859,0.573690956740143,-8.73358547713359,2.46724109525636e-18,1.70948967387575e-15,"GP2","Down"
"ENSG00000175426.11",919.410599421637,-3.3454968902641,0.383497177749689,-8.72365452568657,2.69364079049921e-18,1.83361326863438e-15,"PCSK1","Down"
"ENSG00000179059.10",88.1471557709609,-4.4778375274095,0.515542211507038,-8.68568553158788,3.76465045792686e-18,2.51848624858655e-15,"ZFP42","Down"
"ENSG00000173404.5",49.4892695459106,-3.25175611556091,0.375802880807201,-8.65282381171839,5.02405559257234e-18,3.30404035673558e-15,"INSM1","Down"
"ENSG00000115919.15",2184.00635208276,-2.14073418501955,0.249854802239292,-8.56791290715045,1.05377444706335e-17,6.8145837200842e-15,"KYNU","Down"
