"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0019730","antimicrobial humoral response","44/905","189/18842",0.232804232804233,4.84695840275951,11.9392049545936,1.07964850291985e-18,4.33910733323488e-15,4.33910733323488e-15,"BPIFA1/ELANE/WFDC5/H2BC14/FGA/KLK3/NTS/KRT6A/PGC/CXCL5/KLK7/S100A12/PGLYRP4/PRSS2/DEFA6/KNG1/TAC1/REG1A/AZU1/FGB/IGHG1/WFDC12/COLEC11/PLA2G1B/S100A7/F2/DMBT1/DEFA5/BPI/DEFB1/HRG/RNASE7/IGHD/IL17A/IGHG3/GNLY/XCL2/CCL15/H2BC9/PI3/TF/DEFA3/CALCA/H2BC7",44
"GO:0019731","antibacterial humoral response","27/905","86/18842",0.313953488372093,6.53647693691379,11.5588324642361,1.84102806857031e-15,3.69954590379203e-12,3.69954590379203e-12,"BPIFA1/ELANE/WFDC5/H2BC14/FGA/KLK3/PGC/KLK7/DEFA6/TAC1/FGB/IGHG1/WFDC12/PLA2G1B/DMBT1/DEFA5/BPI/DEFB1/RNASE7/IGHD/IGHG3/H2BC9/PI3/TF/DEFA3/CALCA/H2BC7",27
"GO:0006959","humoral immune response","50/905","296/18842",0.168918918918919,3.51687322681798,9.80355137566143,6.10995706755985e-15,8.18530581817435e-12,8.18530581817435e-12,"BPIFA1/ELANE/WFDC5/FCN3/H2BC14/FGA/KLK3/NTS/KRT6A/PGC/CXCL5/KLK7/S100A12/PGLYRP4/PRSS2/DEFA6/CFHR1/KNG1/IFNE/TAC1/REG1A/AZU1/FGB/IGHG1/WFDC12/COLEC11/PLA2G1B/S100A7/F2/DMBT1/DEFA5/BPI/C8G/DEFB1/HRG/RNASE7/IL6/IGHD/IL17A/IGHG3/GNLY/XCL2/CCL15/H2BC9/PI3/C8A/TF/DEFA3/CALCA/H2BC7",50
"GO:0061844","antimicrobial humoral immune response mediated by antimicrobial peptide","32/905","142/18842",0.225352112676056,4.69180608512956,9.9189022547223,1.54358986568415e-13,1.55092191754615e-10,1.55092191754615e-10,"BPIFA1/ELANE/H2BC14/KLK3/NTS/KRT6A/PGC/CXCL5/KLK7/S100A12/PGLYRP4/DEFA6/KNG1/TAC1/REG1A/PLA2G1B/S100A7/F2/DMBT1/DEFA5/BPI/DEFB1/HRG/RNASE7/IL17A/GNLY/XCL2/CCL15/H2BC9/DEFA3/CALCA/H2BC7",32
"GO:0010817","regulation of hormone levels","62/905","487/18842",0.127310061601643,2.65058141513608,8.28944772862048,2.12910745280262e-12,1.71137657056275e-09,1.71137657056275e-09,"CYP1A1/FGA/AKR1B10/TRPM5/NR1H4/UGT2B4/NEUROD1/UGT1A9/AKR1C2/CASR/RDH8/ISL1/CRH/DUOXA2/LEP/DUOX2/AKR1C4/UGT1A6/HSD17B6/BMP6/RDH10/UGT1A1/RETN/CHGA/DIO1/TAC1/AKR1C3/FGB/CYP2C9/CES1/PCSK2/AKR1C1/ADH1C/ADRA2A/SLC5A5/GALR1/PCSK1/CYP1A2/FURIN/CLTRN/TUNAR/CCKAR/KCNK9/SLCO1B1/INHA/IL6/SNAP25/FGG/CPA4/ADH4/RFX6/UGT1A7/KLK6/ADH7/AKR1B15/NOS2/HNF4A/HSD3B1/GAL/DOC2B/TACR3/CYP2C18",62
"GO:0007586","digestion","28/905","122/18842",0.229508196721311,4.77833529571597,9.40435140636541,3.18473404232017e-12,2.13324101934746e-09,2.13324101934746e-09,"NPC1L1/HTR4/MUC13/CLDN2/UCN2/SST/SERPINA3/NEUROD1/PGC/MUC6/AKR1C2/MUC4/CRH/FGF10/LEP/PRSS2/CAPN9/MUC2/AKR1C1/ADRA2A/CLPSL1/TFF1/ABCG8/CCK/PPARGC1A/IL17A/VSIG1/TFF2",28
"GO:0042742","defense response to bacterium","47/905","322/18842",0.145962732919255,3.03892797090011,8.28916317095825,9.31087039932092e-12,5.34576973355297e-09,5.34576973355297e-09,"BPIFA1/ELANE/WFDC5/HP/H2BC14/FGA/KLK3/NR1H4/PLA2G2A/KRT6A/PGC/KLK7/S100A12/LBP/PGLYRP4/DEFA6/BPIFA2/LCN2/CHGA/IFNE/TAC1/AZU1/FGB/IGHG1/WFDC12/PLA2G1B/F2/DMBT1/DEFA5/BPI/DEFB1/RNASE7/IL6/IGHD/IL17A/IGHG3/GNLY/LYPD8/S100A8/H2BC9/VGF/PI3/NOS2/TF/DEFA3/CALCA/H2BC7",47
"GO:0002443","leukocyte mediated immunity","52/905","429/18842",0.121212121212121,2.52362297003181,7.17043067395304,7.91356387068565e-10,3.9755766495357e-07,3.9755766495357e-07,"ELANE/IGHV3-13/SH2D1B/KIT/IGLC6/IGLC2/IGHV3-73/IGHV3-33/SERPINB4/KIR3DL1/IGHV3-49/CTSH/LEP/IL21/IGHV1-3/IGHV1-58/KLRC3/CPLX2/KLRC4/IGHV3-20/CLEC2A/NCR1/CHGA/TAC1/AZU1/IGHG1/NKG7/IGHV3-64D/IGHV3-21/KLRC2/IGLL1/IGHV3-64/PLA2G1B/GZMB/F2/KIR2DL4/IGHV6-1/C8G/CD8A/IL6/IGHD/CD177/IGHV7-4-1/IGHG3/IGHV4-59/IGHV3-66/KLRD1/NOS2/C8A/IGHV8-51-1/CLC/KLRC1",52
"GO:0001906","cell killing","36/905","238/18842",0.151260504201681,3.14922698361112,7.49495376203249,9.50266998945268e-10,4.24347007640115e-07,4.24347007640115e-07,"ELANE/PLA2G2A/NTS/KRT6A/SERPINB4/KIR3DL1/S100A12/CTSH/LEP/IL21/PGLYRP4/KLRC3/DEFA6/KLRC4/CLEC2A/KNG1/GZMH/NCR1/CHGA/TAC1/AZU1/IGHG1/NKG7/KLRC2/GZMB/F2/KIR2DL4/DEFA5/C8G/RNASE7/GNLY/KLRD1/NOS2/C8A/KLRC1/DEFA3",36
"GO:0006805","xenobiotic metabolic process","26/905","135/18842",0.192592592592593,4.00975649682832,7.88310900771427,1.14307108315922e-09,4.5940026832169e-07,4.5940026832169e-07,"CBR1/CYP1A1/UGT2B4/UGT1A9/S100A12/UGT1A6/UGT1A1/CES3/ABCC2/SLCO1B3/CYP2C9/CBR3/AKR1C1/SLCO1A2/NQO1/CYP1A2/SLCO1B1/ALDH3A1/SLC28A2/CYP4F2/UGT2A3/CYP2B6/UGT1A7/CYP2A6/HNF4A/CYP2C18",26
