"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","57/472","371/9423",0.153638814016173,3.06724267897117,9.32852361852836,1.39771889285891e-14,4.41679170143415e-12,4.41679170143415e-12,"3360/344838/90226/4922/6750/283869/2834/2567/2837/55879/797/7253/1392/3952/1081/130576/5645/2914/6344/1138/339403/80763/2740/3827/2859/2915/122042/7434/6863/2568/200959/150/2566/3973/2587/5617/2147/10886/59340/885/186/399967/886/9248/11255/84539/5746/4923/2562/7425/2555/1395/51083/6870/796/2558/3357",57
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","20/472","79/9423",0.253164556962025,5.05417292426518,8.3091417971605,1.12175731962659e-09,1.77237656501001e-07,1.77237656501001e-07,"873/1543/22977/7363/54600/54578/54658/1559/874/1645/126/1544/218/127/79799/246181/1555/54577/131/1548",20
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","18/472","69/9423",0.260869565217391,5.20799557848195,8.05578576497323,4.57857349550747e-09,4.82276408193454e-07,4.82276408193454e-07,"1543/7363/54600/50700/54578/8630/157506/54658/1559/126/1544/127/79799/1555/54577/131/1548/1562",18
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","14/472","66/9423",0.212121212121212,4.2347842835131,6.05558003029574,3.61976402571041e-06,0.000285961358031122,0.000285961358031122,"1543/7363/54600/1646/1109/54578/8630/54658/8644/1645/1544/79799/54577/3283",14
"Metabolism","Metabolism of cofactors and vitamins","hsa00790","Folate biosynthesis","9/472","28/9423",0.321428571428571,6.41699455205811,6.59167509826254,5.40957261009559e-06,0.000341884988958041,0.000341884988958041,"249/873/57016/5053/8836/8644/248/250/441282",9
"Organismal Systems","Development and regeneration","hsa04382","Cornified envelope formation","27/472","217/9423",0.124423963133641,2.48399789111927,5.07848806471142,1.0674386749986e-05,0.000562184368832597,0.000562184368832597,"9080/390792/3034/25984/9075/3884/3853/6283/204219/285848/3872/3861/5317/5522/3860/6278/29943/5045/6703/1830/6705/3868/23581/3882/6279/9119/3854",27
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","14/472","73/9423",0.191780821917808,3.82870907824472,5.57122476022514,1.25197114717786e-05,0.000565175546440291,0.000565175546440291,"7363/54600/54578/54658/1559/126/1544/218/127/79799/1555/54577/131/1548",14
"Organismal Systems","Digestive system","hsa04976","Bile secretion","15/472","90/9423",0.166666666666667,3.32733050847458,5.09419370838882,3.57122555558577e-05,0.00128259658411323,0.00128259658411323,"6555/9971/7363/54600/480/54578/6344/54658/1244/28234/6579/64241/10599/79799/54577",15
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","13/472","70/9423",0.185714285714286,3.70759685230024,5.22112780368504,3.65296495475288e-05,0.00128259658411323,0.00128259658411323,"873/1543/7363/54600/1646/54578/54658/1559/1544/79799/54577/1548/1562",13
"Human Diseases","Substance dependence","hsa05032","Morphine addiction","15/472","91/9423",0.164835164835165,3.29076643695288,5.04220981260103,4.08327030195615e-05,0.00129031341541814,0.00129031341541814,"5144/2567/55879/2568/2786/200959/5582/2566/5139/3763/5137/2562/2555/2558/10846",15
"Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","9/472","37/9423",0.243243243243243,4.85610398534127,5.3965486247697,6.50835327882216e-05,0.00173381226422836,0.00173381226422836,"57016/7363/54600/54578/54658/7358/79799/54577/441282",9
"Metabolism","Lipid metabolism","hsa00590","Arachidonic acid metabolism","12/472","64/9423",0.1875,3.7432468220339,5.05646399101675,6.58409720593048e-05,0.00173381226422836,0.00173381226422836,"8399/873/5320/123745/8644/1559/874/22949/5319/4051/8529/1555",12
"Environmental Information Processing","Signaling molecules and interaction","hsa04081","Hormone signaling","25/472","219/9423",0.114155251141553,2.27899349895519,4.3975304983507,9.56886760976803e-05,0.00232597089591284,0.00232597089591284,"90226/6750/2520/2834/797/7253/1392/3952/1081/2740/7434/1733/2786/150/3973/5617/2981/885/186/886/341208/84539/2980/1395/796",25
"Organismal Systems","Immune system","hsa04610","Complement and coagulation cascades","14/472","89/9423",0.157303370786517,3.1404018282232,4.65868331229755,0.00012382419999023,0.00279488908549376,0.00279488908549376,"2155/2243/3053/2152/5055/3078/3827/5104/2244/2147/733/2266/2160/731",14
"Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","23/472","199/9423",0.115577889447236,2.30739502597734,4.28036190409092,0.000150213632526695,0.00316450052522904,0.00316450052522905,"3360/2567/55879/6512/2914/6511/2915/6863/2568/2786/200959/5582/150/2566/6572/11255/285242/2562/9177/2555/6870/2558/3357",23
"Organismal Systems","Immune system","hsa04612","Antigen processing and presentation","13/472","82/9423",0.158536585365854,3.16502170318313,4.5214659552849,0.000198233959184404,0.00391512069389197,0.00391512069389197,"115653/3811/3809/3804/3823/8302/3802/3822/3805/925/3824/3812/3821",13
"Human Diseases","Endocrine and metabolic disease","hsa04950","Maturity onset diabetes of the young","7/472","26/9423",0.269230769230769,5.3749185136897,5.12942636375866,0.000216586565915452,0.00402596204878135,0.00402596204878135,"5080/4760/168620/50674/222546/3171/3172",7
"Human Diseases","Immune disease","hsa05332","Graft-versus-host disease","9/472","45/9423",0.2,3.99279661016949,4.62099093614304,0.000324361186553442,0.00569434083060486,0.00569434083060486,"115653/3811/3804/3802/3002/3569/3824/3812/3821",9
"Human Diseases","Infectious disease: bacterial","hsa05150","Staphylococcus aureus infection","14/472","99/9423",0.141414141414141,2.82318952234206,4.18750223573974,0.000389760997343366,0.00648234079792124,0.00648234079792124,"390792/100289462/25984/3884/1671/3872/3861/3860/1670/1672/2266/3868/3882/1668",14
"Metabolism","Amino acid metabolism","hsa00340","Histidine metabolism","6/472","22/9423",0.272727272727273,5.44472265023113,4.79265040567597,0.000574122098702759,0.0090711291595036,0.00907112915950359,"3034/131669/218/26/10841/144193",6
"Metabolism","Carbohydrate metabolism","hsa00053","Ascorbate and aldarate metabolism","7/472","31/9423",0.225806451612903,4.50799617277201,4.4922889878717,0.000696489742561079,0.0104805123166334,0.0104805123166334,"7363/54600/54578/54658/7358/79799/54577",7
"Human Diseases","Substance dependence","hsa05033","Nicotine addiction","8/472","41/9423",0.195121951219512,3.89541132699463,4.26639688717901,0.000826352396933388,0.0118694253377705,0.0118694253377705,"2567/55879/2568/200959/2566/2562/2555/2558",8
"Organismal Systems","Endocrine system","hsa04918","Thyroid hormone synthesis","11/472","75/9423",0.146666666666667,2.92805084745763,3.8494309490327,0.001184766838034,0.016277666122554,0.016277666122554,"213/480/7253/405753/1081/50506/84699/5582/6528/9586/2877",11
"Organismal Systems","Digestive system","hsa04975","Fat digestion and absorption","8/472","44/9423",0.181818181818182,3.62981510015408,4.01494921011971,0.00134355092400463,0.0176900871660609,0.0176900871660609,"29881/8399/5320/338/5319/2168/64241/346606",8
"Organismal Systems","Nervous system","hsa04727","GABAergic synapse","12/472","89/9423",0.134831460674157,2.69177299561988,3.68222196363595,0.00152903902977956,0.0193270533364136,0.0193270533364136,"2567/55879/2568/2786/200959/5582/2566/3763/2562/9001/2555/2558",12
"Environmental Information Processing","Signaling molecules and interaction","hsa04519","Cadherin signaling","33/472","404/9423",0.0816831683168317,1.63072138781675,2.97547165888747,0.00370518220377476,0.0450322144766471,0.0450322144766471,"390792/25984/3884/3853/2567/55879/1016/1008/1005/1010/3872/3861/10083/5317/2568/3860/11211/200959/8326/2566/1006/1830/1956/5100/51384/3868/3882/1015/2562/9119/2555/3854/2558",33
