"category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","35/273","371/9423",0.0943396226415094,3.25627202985694,7.65858379110453,5.12981824592659e-10,1.03371631895096e-07,1.03371631895096e-07,"344838/2565/2891/3358/2556/3827/4889/2797/5539/2837/4544/797/55879/3354/799/84109/9248/152/84539/56923/2641/200959/85569/55584/887/1135/796/2557/1443/6866/2568/2904/4923/2895/6863",35
"Metabolism","Metabolism of cofactors and vitamins","hsa00830","Retinol metabolism","15/273","69/9423",0.217391304347826,7.50358337314859,9.365282907083,8.07590874180434e-10,1.03371631895096e-07,1.03371631895096e-07,"126/7363/1543/54600/54577/50700/54578/54576/1555/54575/10720/10941/131/54490/79799",15
"Organismal Systems","Development and regeneration","hsa04382","Cornified envelope formation","25/273","217/9423",0.115207373271889,3.97655340051653,7.66214535372489,3.2528531782906e-09,2.77576804547465e-07,2.77576804547465e-07,"9071/3861/9119/3884/9073/204219/1830/3849/147409/125115/3851/8688/3885/51702/126637/29943/23581/3881/54474/3860/8687/6699/149461/9074/6279",25
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00980","Metabolism of xenobiotics by cytochrome P450","15/273","79/9423",0.189873417721519,6.5537626930032,8.56203060760506,5.92106212009317e-09,3.78947975685963e-07,3.78947975685963e-07,"126/7363/1543/54600/54577/2939/54578/54576/1555/54575/10720/10941/131/54490/79799",15
"Metabolism","Carbohydrate metabolism","hsa00053","Ascorbate and aldarate metabolism","10/273","31/9423",0.32258064516129,11.1343495214463,9.76202712150192,9.16103858638581e-09,4.69045175622954e-07,4.69045175622954e-07,"7363/54600/54577/54578/54576/54575/10720/10941/54490/79799",10
"Metabolism","Xenobiotics biodegradation and metabolism","hsa00982","Drug metabolism - cytochrome P450","14/273","73/9423",0.191780821917808,6.61959957850369,8.32536575562644,1.6830511327711e-08,7.18101816649004e-07,7.18101816649004e-07,"126/7363/54600/54577/2939/54578/54576/1555/54575/10720/10941/131/54490/79799",14
"Metabolism","Lipid metabolism","hsa00140","Steroid hormone biosynthesis","13/273","66/9423",0.196969696969697,6.7987012987013,8.16538595645188,3.94763730831998e-08,1.44370735847131e-06,1.44370735847131e-06,"1583/7363/1543/54600/54577/6718/54578/54576/54575/10720/10941/54490/79799",13
"Metabolism","Carbohydrate metabolism","hsa00040","Pentose and glucuronate interconversions","10/273","37/9423",0.27027027027027,9.32877932877933,8.76767148941028,6.16860879321986e-08,1.97395481383035e-06,1.97395481383035e-06,"7363/54600/54577/54578/54576/54575/10720/10941/54490/79799",10
"Organismal Systems","Digestive system","hsa04976","Bile secretion","14/273","90/9423",0.155555555555556,5.36923076923077,7.19379291262692,2.64589983723429e-07,7.52611509257754e-06,7.52611509257754e-06,"7363/54600/54577/6555/54578/5244/54576/6579/54575/10720/10941/54490/79799/114",14
"Metabolism","Metabolism of cofactors and vitamins","hsa00860","Porphyrin metabolism","10/273","46/9423",0.217391304347826,7.50358337314859,7.63733773768618,5.7322906733239e-07,1.39393751660662e-05,1.39393751660662e-05,"7363/54600/54577/54578/54576/54575/10720/10941/54490/79799",10
"Environmental Information Processing","Signaling molecules and interaction","hsa04519","Cadherin signaling","31/273","404/9423",0.0767326732673267,2.6485420520074,5.8499727811907,6.20410659643825e-07,1.39393751660662e-05,1.39393751660662e-05,"2565/1007/2556/3861/9119/3884/27328/1830/10451/55879/3849/64405/147409/1016/125115/3851/8688/3885/117532/3881/54474/3860/10083/200959/1501/8687/1005/340596/2557/2196/2568",31
"Human Diseases","Cancer: overview","hsa05204","Chemical carcinogenesis - DNA adducts","12/273","70/9423",0.171428571428571,5.9171114599686,7.13223972734024,6.53408210909353e-07,1.39393751660662e-05,1.39393751660662e-05,"7363/1543/54600/54577/2939/54578/54576/54575/10720/10941/54490/79799",12
